pmid,chain_id,correct,confidence,notes
37165196,neoantigen-profiling-to-mrna-vaccine,yes,high,"Phase 1 personalized RNA neoantigen vaccine in pancreatic cancer — clear diagnostic-to-therapy chain"
38584166,neoantigen-profiling-to-mrna-vaccine,yes,high,"Phase 1/2 personalized neoantigen vaccine + pembrolizumab in HCC"
33473101,neoantigen-profiling-to-mrna-vaccine,yes,high,"Personalized neoantigen DC vaccine in advanced lung cancer"
36248865,neoantigen-profiling-to-mrna-vaccine,yes,medium,"Neoantigen vaccine + radiofrequency ablation — combination modality"
37655661,neoantigen-profiling-to-mrna-vaccine,yes,high,"CD4/CD8 neoantigen vaccination overcoming checkpoint resistance"
35750683,psma-imaging-to-radioligand,ambiguous,medium,"Broad prostate cancer signaling review — mentions PSMA diagnostics and therapy but not a focused chain paper"
31640747,psma-imaging-to-radioligand,yes,high,"PSMA-targeted radioligand therapy for triple-negative breast cancer"
38302933,psma-imaging-to-radioligand,yes,high,"Phase I/II PSMA-targeted radionuclide therapy — clear diagnostic-selection paper"
29347993,pdl1-ihc-to-checkpoint,yes,high,"PD-L1 expression-guided avelumab in Merkel cell carcinoma — textbook biomarker-to-therapy"
33203644,pdl1-ihc-to-checkpoint,yes,high,"PD-L1 selection for entinostat + pembrolizumab in NSCLC"
39722028,pdl1-ihc-to-checkpoint,ambiguous,medium,"Breast cancer immunotherapy review — discusses PD-L1 selection broadly"
37492581,tmb-msi-to-immunotherapy,yes,high,"MSI-H/dMMR as biomarker for immunotherapy in CRC — direct chain"
39123202,tmb-msi-to-immunotherapy,ambiguous,medium,"GI cancer immunotherapy review — TMB discussed among many topics"
37655661,tmb-msi-to-immunotherapy,yes,high,"Neoantigen-driven T cell vaccination — TMB context"
34205379,oncolytic-susceptibility-to-virotherapy,yes,high,"Nectin-1 expression correlated with oncolytic HSV susceptibility in melanoma"
