pmid,sample_mechanism,sample_bucket,predicted_evidence_level,title,year,journal,pub_types,mechanisms,abstract_excerpt,gold_evidence_level,gold_label_status,gold_notes
36405739,immunotherapy,predicted-tagged,preclinical-invivo,Oncolytic virus driven T-cell-based combination immunotherapy platform for colorectal cancer.,2022,Frontiers in immunology,"Journal Article | Research Support, Non-U.S. Gov't",bispecific-antibody | immunotherapy | oncolytic-virus,"colorectal cancer is the third most diagnosed cancer and the second leading cause of cancer mortality worldwide, highlighting an urgent need for new therapeutic options and combination strategies for patients. the orchestration of potent t cell responses against human cancers is necessary for effective antitumour immunity. however, regression of a limited number of cancers has been induced by immune checkpoint inhibitors, t cell engagers (tces) and/or oncolytic viruses. although one tce has been...",,pending,
36717184,immunotherapy,predicted-tagged,preclinical-invivo,Generation of novel oncolytic vaccinia virus with improved intravenous efficacy through protection against complement-mediated lysis and evasion of neutralization by vaccinia virus-specific antibodies.,2023,Journal for immunotherapy of cancer,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**background**: oncolytic virus immunotherapy has revolutionized cancer immunotherapy by efficiently inducing both oncolysis and systemic immune activation. locoregional administration has been used for oncolytic virus therapy, but its applications to deep-seated cancers have been limited. although systemic delivery of the oncolytic virus would maximize viral immunotherapy's potential, this remains a hurdle due to the rapid removal of the administered virus by the complement and innate immune sy...",,pending,
37433716,immunotherapy,predicted-tagged,preclinical-invivo,"Combination oncolytic virus, radiation therapy, and immune checkpoint inhibitor treatment in anti-PD-1-refractory cancer.",2023,Journal for immunotherapy of cancer,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**background**: immunotherapies are becoming front-line treatments for many advanced cancers, and combinations of two or more therapies are beginning to be investigated. based on their individual antitumor capabilities, we sought to determine whether combination oncolytic virus (ov) and radiation therapy (rt) may improve cancer outcomes. **methods**: to investigate the activity of this combination therapy, we used in vitro mouse and human cancer cell lines as well as a mouse model of skin cancer...",,pending,
38022659,immunotherapy,predicted-tagged,phase1-clinical,"A phase I oncolytic virus trial with vesicular stomatitis virus expressing human interferon beta and tyrosinase related protein 1 administered intratumorally and intravenously in uveal melanoma: safety, efficacy, and T cell responses.",2023,Frontiers in immunology,"Clinical Trial, Phase I | Journal Article | Research Support, Non-U.S. Gov't",immunotherapy | oncolytic-virus,"**introduction**: metastatic uveal melanoma (mum) has a poor prognosis and treatment options are limited. these patients do not typically experience durable responses to immune checkpoint inhibitors (icis). oncolytic viruses (ov) represent a novel approach to immunotherapy for patients with mum. **methods**: we developed an ov with a vesicular stomatitis virus (vsv) vector modified to express interferon-beta (ifn-β) and tyrosinase related protein 1 (tyrp1) (vsv-ifnβ-tyrp1), and conducted a phase...",,pending,
39679828,immunotherapy,predicted-tagged,preclinical-invitro,Activatable Sulfur Dioxide Nanosonosensitizer Enables Precisely Controllable Sono-Gaseous Checkpoint Trimodal Therapy for Orthotopic Hepatocellular Carcinoma.,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Journal Article,immunotherapy | nanoparticle | sonodynamic,"immune checkpoint blockade (icb) is combined with sonodynamic therapy (sdt) to increase response rates and enhance anticancer efficacy. however, the ""always on"" property of most sonosensitizers in reducing tumor microenvironment (tme) compromises the therapeutic outcome of sonoimmunotherapy and exacerbates adverse side effects. precisely controllable strategies combining sulfur dioxide (so2) gas therapy with cancer immunotherapy can address these issues but remain lacking. herein an ""activatable...",,pending,
40040833,immunotherapy,predicted-tagged,preclinical-invivo,A pH responsive nanocomposite for combination sonodynamic-immunotherapy with ferroptosis and calcium ion overload via SLC7A11/ACSL4/LPCAT3 pathway.,2025,"Exploration (Beijing, China)",Journal Article,immunotherapy | nanoparticle | sonodynamic,"sonodynamic therapy offers a non-invasive approach to induce the death of tumor cells. by harnessing ultrasound waves in tandem with sonosensitizers, this method produces reactive oxygen species (ros) that inflict oxidative damage upon tumor cells, subsequently causing their demise. ferroptosis is a regulatory form of cell death that differs from other forms, characterized by iron accumulation, ros accumulation, and lipid peroxidation. in the presented research, a nanoparticle formulation, parth...",,pending,
40069686,immunotherapy,predicted-tagged,preclinical-invitro,MXene-based nanosheet for enhanced glioma therapy via photonic hyperthermia to boost the abscopal effect of radioimmunotherapy.,2025,Journal of nanobiotechnology,Journal Article,immunotherapy,"radiotherapy (rt) effectiveness is limited by low dna damage in tumor cells, surrounding tissue harm, and tumor radioresistance with active dna repair. herein, we have engineered a two-dimensional nanomaterial consisting of mxene nanosheets at its core, coated with gold nanorods and a cisplatin shell, and further modified with polyvinyl alcohol, referred to as apmp. the apmp exploits its distinctive electronic properties and photothermal effects to augment radiosensitivity and impede dna damage ...",,pending,
40406146,immunotherapy,predicted-tagged,preclinical-invivo,"A conceptual exploration on the synergistic anti-tumor effects of high-order combination of OHSV2-DSTEFAP5/CD3, CAR-T cells, and immunotoxins in hepatocellular carcinoma.",2025,Frontiers in immunology,Journal Article,car-t | immunotherapy | oncolytic-virus,"**background**: although the treatment landscape for advanced hepatocellular carcinoma (hcc) has seen significant advancements in the past decade with the introduction of immune checkpoint inhibitors and antiangiogenic drugs, progress has fallen short of expectations. recently, a novel engineered oncolytic virus (ohsv2) that secretes dual-specific t-cell engagers (dstes) targeting the fibroblast activation protein (fap) was developed and combined with gpc3-targeting car-t cells and immunotoxins ...",,pending,
40817248,immunotherapy,predicted-tagged,preclinical-invivo,TRIM6 ablation reverses ICB resistance in MSS gastric cancer by unleashing cGAS-STING-dependent antitumor immunity.,2025,Journal of experimental & clinical cancer research : CR,Journal Article,immunotherapy,"**background**: gastric cancers are classified into four molecular subtypes according to the cancer genome atlas (tcga) classification: epstein-barr virus-positive (ebv-positive), microsatellite instability-high (msi-h), chromosomal instability (cin), and genomically stable (gs). unlike msi-h gastric cancer, gs and cin subtypes exhibit immunologically inert microenvironments and demonstrate minimal response to immune checkpoint blockade (icb), necessitating novel strategies to overcome immunothe...",,pending,
40943370,immunotherapy,predicted-tagged,preclinical-invivo,Enhancing Antitumor Efficacy of MUC1 mRNA Nano-Vaccine by CTLA-4 siRNA-Mediated Immune Checkpoint Modulation in Triple Negative Breast Cancer Mice Model.,2025,International journal of molecular sciences,Journal Article,immunotherapy | nanoparticle,"immunotherapy, particularly approaches that combine tumor-specific vaccines with immune checkpoint modulation, represents a promising strategy for overcoming tumor immune evasion. while most mrna-based cancer vaccines focus solely on antigen delivery, there is a need for platforms that simultaneously enhance antigen presentation and modulate the tumor microenvironment to increase therapeutic efficacy. this study presents a novel dual-nanolipid exosome (nle) platform that simultaneously delivers ...",,pending,
37370255,immunotherapy,predicted-untagged,,Neoantigens in cancer immunotherapy: quantity vs. quality.,2023,Molecular oncology,"Journal Article | Research Support, Non-U.S. Gov't",immunotherapy,"traditional immunotherapies provide clinical benefits to only a few patients with solid tumors, highlighting the urgent need for more effective approaches. traditional immunotherapies rely on the presentation of cancer antigens, with neoantigens being highly important in this context as they are specific to malignant tissue but not healthy tissue. the quantity of neoantigens is often associated with clinical benefit, but it cannot fully explain or predict patient response. in this viewpoint, we ...",,pending,
37655661,immunotherapy,predicted-untagged,,Linked CD4+/CD8+ T cell neoantigen vaccination overcomes immune checkpoint blockade resistance and enables tumor regression.,2023,The Journal of clinical investigation,"Journal Article | Research Support, N.I.H., Extramural",immunotherapy,"therapeutic benefit to immune checkpoint blockade (icb) is currently limited to the subset of cancers thought to possess a sufficient tumor mutational burden (tmb) to allow for the spontaneous recognition of neoantigens (neoag) by autologous t cells. we explored whether the response to icb of an aggressive low-tmb squamous cell tumor could be improved through combination immunotherapy using functionally defined neoag as targets for endogenous cd4+ and cd8+ t cells. we found that, whereas vaccina...",,pending,
38858600,immunotherapy,predicted-untagged,,Sphingomyelin-derived epacadostat nanovesicle enhances IDO1 inhibition for improved melanoma combination immunotherapy.,2024,Genes and immunity,Journal Article,immunotherapy,,,pending,
39210987,immunotherapy,predicted-untagged,,Advanced endometrial cancer-The next generation of treatment: A society of gynecologic oncology journal club clinical commentary.,2024,Gynecologic oncology reports,Journal Article,immunotherapy | synthetic-lethality,"in february of 2024, the society of gynecologic oncology (sgo) hosted a journal club focused on new treatment options for the management of advanced and metastatic endometrial cancer. this clinical commentary is intended to provide a summary report of that presentation. the session described the importance of molecular characterization shown in the work of the cancer genome atlas (tcga). the updated 2023 figo staging of endometrial cancer was reviewed. the panel then described the role of upfron...",,pending,
39435274,immunotherapy,predicted-untagged,,"Management Consensus Guidelines for Hepatocellular Carcinoma: 2023 Update on Surveillance, Diagnosis, Systemic Treatment, and Posttreatment Monitoring by the Taiwan Liver Cancer Association and the Gastroenterological Society of Taiwan.",2024,Liver cancer,Journal Article,immunotherapy,"hepatocellular carcinoma (hcc) is the leading cause of cancer-related mortality in taiwan. the taiwan liver cancer association and the gastroenterological society of taiwan established hcc management consensus guidelines in 2016 and updated them in 2023. current recommendations focus on addressing critical issues in hcc management, including surveillance, diagnosis, systemic treatment, and posttreatment monitoring. for surveillance and diagnosis, we updated the guidelines to include the role of ...",,pending,
39830952,immunotherapy,predicted-untagged,,The impact of KRAS mutations on the clinical outcome and immune response following immunotherapy for pancreatic cancer.,2024,Annals of pancreatic cancer,Journal Article,immunotherapy,"**background**: pancreatic ductal adenocarcinoma (pdac) is predicted to be the second leading cause of cancer-related death by 2030. this is driven by a high case-fatality rate with most patients even with radiologically localized pdac at diagnosis ultimately relapsing with metastatic disease. kras mutations present in 90% to 95% of pdac drive these poor statistics through its role in driving cellular growth, inhibition of apoptosis, and immunosuppression. the recent development of kras inhibito...",,pending,
40753395,immunotherapy,predicted-untagged,,Sensitive detection of minimal residual disease and immunotherapy targets by multi-modal bone marrow analysis in high-risk neuroblastoma - a multi-center study.,2025,Journal of experimental & clinical cancer research : CR,Journal Article | Multicenter Study,immunotherapy,"**background**: bone marrow dissemination of tumor cells, common in various cancers, including neuroblastoma, is associated with poor outcome, necessitating sensitive detection methods for bone marrow minimal residual disease (mrd) and offer detection of biomarkers for therapy stratification. current standard-of-care diagnostics, involving cytomorphological and histological assessment of bone marrow aspirates and trephine biopsies, lack sensitivity, leading to undetected mrd in many patients, an...",,pending,
41313664,immunotherapy,predicted-untagged,,Cytomegalovirus Infection After Chimeric Antigen Receptor T-Cell Therapy or Bispecific Antibody Treatment for Hematologic Malignancies.,2025,Transplant infectious disease : an official journal of the Transplantation Society,Journal Article,bispecific-antibody | car-t | immunotherapy,"**background**: limited data exists on the incidence of cmv infections after chimeric antigen receptor (car) t-cell or bispecific antibody (bsab) therapy for hematologic malignancies. **methods**: we reviewed medical records of patients with hematologic malignancies treated with car t-cells or bsabs between july 2018 and october 2024 in a tertiary hospital in seoul, south korea. cmv infections were detected using cmv dna qpcr assays performed within 180 days after car t-cell infusion or the last...",,pending,
41567187,immunotherapy,predicted-untagged,,Editorial: Unveiling the next generation of cancer immunity & immunotherapy.,2025,Frontiers in immunology,Editorial,immunotherapy,,,pending,
41660849,immunotherapy,predicted-untagged,,Integrative analysis of immune and microbial subtypes predicts immunotherapy response in stomach adenocarcinoma.,2026,Microbiology spectrum,Journal Article,immunotherapy,"the tumor immune microenvironment and intratumoral microbiota play critical roles in cancer progression and immunotherapy response, yet their integrated functions in stomach adenocarcinoma (stad) are not well understood. this study conducted a multi-omics analysis of transcriptomic and microbiome data from 348 patients with stad. using the immucellai algorithm, immune cell infiltration (ici) was estimated, and non-negative matrix factorization classified samples into three immune subtypes (inc-1...",,pending,
35890409,mRNA-vaccine,predicted-tagged,phase2-clinical,Development of a Personalized Tumor Neoantigen Based Vaccine Formulation (FRAME-001) for Use in a Phase II Trial for the Treatment of Advanced Non-Small Cell Lung Cancer.,2022,Pharmaceutics,Journal Article,immunotherapy | mRNA-vaccine,"stage iii-iv non-small cell lung cancer (nsclc) is a devastating disease characterized by a poor prognosis. nsclc tumors carry genetic mutations, which can lead to the expression of altered protein sequences. peptides originating from mutated proteins and bound to mhc molecules on the tumor cell surface are referred to as neoantigens, as they are tumor-specific and not expressed in normal cells. due to their tumor specificity, neoantigens have a strong potential to induce an anti-tumor immune re...",,pending,
