n,pmid,identifier,surface_form,verdict,sentence,verdict_v2,authority_name,is_authority_name,matched_span,sentence_len
1,37483648,MESH:D000067562,late,FP,"Firstly, vitiligo-like skin lesions can be encountered late in Palbociclib therapy.",FP,Late Onset Disorders,False,late,83
2,37686695,MESH:D010538,peritonitis,FP,"Disease free survival (right-sided) and Overall (left-sided) survivals curves according to expression of ACE2 (a), CLDN18 (b) and DUSP4 (c) protein in primary tumor samples.",FP,Peritonitis,True,primary,173
3,40136433,MESH:D018886,-associated,FP,"Similarly, circulating tumor cells (CTCs) can offer insights into treatment effectiveness through changes in their VEGFR expression patterns, with studies showing that VEGFR expression in CTCs is associated with metastatic potential and disease progression.",FP,"Aphasia, Conduction",False,associated,257
4,28548090,MESH:D014085,Migration,TP,"Interestingly, as with HT1080 cells, the enhanced migration of MDA-MB-231 cells was observed when IL-6 and IL-8 were present in the stoichiometric ratio of 5:2 (Supplementary Fig.",FP,Tooth Migration,False,migration,179
5,41372940,MESH:D002294,squamous cell carcinoma,TP,Identification of novel prognostic markers associated with laryngeal squamous cell carcinoma using comprehensive analysis.,TP,"Carcinoma, Squamous Cell",True,squamous cell carcinoma,122
6,38076814,MESH:D020329,essential thrombocythaemia,FP,"Altogether, we suggest that OVO is a master transcriptional regulator coordinating a number of essential maternal pathways involved in oocyte and early embryonic development.",FP,Essential Tremor,False,essential,174
7,34294087,MESH:C537327,short,FP,"Results  High-grade epithelioid mesothelioma, high Ki67, and p16/CDKN2A deletion were significantly associated with short survival (p = 0.004, p < 0.0001, and p = 0.002, respectively).",FP,SHORT syndrome,False,short,184
8,39362879,MESH:D064420,toxicity,FP,"4f, a more obvious fluorescence shift and cytotoxicity were observed in B16F10 cells in response to cRGD-pRNCThioether+DEA@FITC treatment than that in response to pRNCThioether+DEA@FITC, thus indicating the good targetability of cRGD (Supplementary Figs.",FP,Drug-Related Side Effects and Adverse Reactions,False,cytotoxicity,254
9,2944983,MESH:D006967,hypersensitivity reactions,FP,"More recently published findings (6) with the Meth A fibrosarcoma indicate, nevertheless, that suppression of a DTH reaction to this tumor by passively transferred Ly-1 -,2+ suppressors may not necessarily be associated with suppression of immunity.",TP,Hypersensitivity,False,reaction,249
10,35478658,MESH:D065703,apoptosis,TP,"Apoptosis analysis using flow cytometry  The cells were treated for 24 h with free 5FU, PGS-NP, and PGS-5FU and 2 × 105 cells were taken along with the untreated control cells.",FP,"Malformations of Cortical Development, Group I",False,apoptosis,176
11,39428845,MESH:D009784,occupational disease,FP,"2.2 Study Selection and Eligibility Criteria  The inclusion criteria were as follows: (1) cohort or case–control study design; (2) reporting of the role of occupational/environmental exposure to wood dust in laryngeal cancer, including the effect size (odds ratio [OR] and relative risk) and confiden",TP,Occupational Diseases,False,occupational,606
12,39980516,MESH:D000084202,chemotherapy,TP,"[27] reported a single case of lung cancer with metastasis to the retro-scapular soft tissue, treated with neoadjuvant and adjuvant chemotherapy, surgery, and radiation therapy.",FP,Chemotherapy-Related Cognitive Impairment,False,chemotherapy,177
13,38968038,MESH:D018487,left ventricular dysfunction,FP,"She was diagnosed with left breast cancer (C, T2N1M0, stage IIB).",FP,"Ventricular Dysfunction, Left",True,left,65
14,38947742,MESH:D009402,changes,FP,"Vitamin K3, an inhibitor of SIAH2, can change the expression of the hypoxia-related molecules, PHD3, HIF1, and VEGF as well as increase the sensitivity of imatinib.122 Chun Shik Park's team found that Krüppel-like factor 4 gene deletion can increase levels of dual-specificity tyrosine-(Y)-phosphoryl",FP,"Nephrosis, Lipoid",False,change,333
15,38942893,MESH:D009361,invasive carcinoma,FP,"Shinohara M Nakamura S Sasaki M Kurahara S Ikebe T Harada T Expression of integrins in squamous cell carcinoma of the oral cavity: correlations with tumor invasion and metastasis Am J Clin Pathol 1999 111 75 88 10.1093/ajcp/111.1.75 9894457 Shinohara M, Nakamura S, Sasaki M, Kurahara S, Ikebe T, Har",TP,Neoplasm Invasiveness,False,invasion,313
16,34298999,MESH:D000067251,increase,FP,"Interestingly, it has been shown that increased SIRT1 can lead to an increase in the xCT pump and confer resistance to cisplatin in ovarian cancer cells [121].",FP,Symptom Flare Up,False,increase,159
17,38155967,MESH:D007154,immune dysfunction,FP,"MCP-counter algorithm (31) aims to estimate immune infiltration by fibroblasts, endothelial cells, and eight immune cells using transcriptomic data.",FP,Immune System Diseases,False,immune,148
18,33774476,MESH:D003291,function,FP,Lipid peroxidation and oxidative imbalance: early functional events in Alzheimer's disease J Alzheimers Dis 6 2 2004 171 175 10.3233/jad-2004-6209 15096701 55 Markesbery W.R.,FP,Conversion Disorder,False,functional,174
19,37251536,MESH:D060467,resistance,TP,"Although we have identified several genes associated with enzalutamide resistance, many unknown genes are likely to remain unidentified.",FP,Disease Resistance,False,resistance,136
20,37441708,MESH:D011522,proton,FP,"In CMR, the signal intensity from a particular tissue depends on its T1 and T2 relaxation times and its proton density.",TP,Protons,False,proton,119
21,25638171,OMIM:612348,AS,FP,Myeloperoxidase activity determination Rat ears were frozen in liquid nitrogen immediately after excision and stored at -80°C until MPO activity was determined as follows.,FP,,False,activity,171
22,38978585,55819,GP,FP,"Importantly, we identify neomorphic antiestrogenic activities through the downregulation of DKK1, a tumor-secreted glycoprotein that is associated with metastasis in other cancers [26–29].",FP,,False,glycoprotein,188
23,37533768,MESH:D014085,Migration,TP,"For example, long‐term CT imaging of gold NP‐integrated MSCs revealed their specific migration to depression‐associated brain regions in model rats (Figure 4D).",FP,Tooth Migration,False,migration,160
24,34249714,MESH:C536008,triple,FP,Figure 2 Schematic representation of conventional and adaptive treatment strategies and their outcomes in triple negative breast cancers.,FP,Achalasia Addisonianism Alacrimia syndrome,False,triple,137
25,32186705,MESH:D003428,nosocomial infections,FP,The influence of age on the likelihood of receiving end-of-life care consistent with patient treatment preferences .,FP,Cross Infection,False,,116
26,40026783,MESH:D016609,TREATMENT,FP,"Diagnosing angiosarcoma poses a significant challenge due to its rarity, often leading to delays in diagnosis and subsequent initiation of correct treatment.",FP,"Neoplasms, Second Primary",False,treatment,157
