n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,34502043,MESH:D000911,mAb,monoclonal antibodies,"Antibodies, Monoclonal",TP,The efficiency of immunotherapy using monoclonal antibodies that inhibit immune checkpoints has been proven in many clinical studies and well documented by numerous registration approaches.
2,24604487,MESH:D000080888,NSMP,specific,Specific Language Disorder,FP,It is also the first trial to use the distress thermometer in primary care and the first to test a specific checklist to identify unmet needs of cancer survivors in primary care.
3,37943834,MESH:D019553,TREATED,treated,"Tooth, Nonvital",FP,"Prediction of outcome in patients with non-small cell lung cancer treated with second line PD-1/PDL-1 inhibitors based on clinical parameters: Results from a prospective, single institution study ==== Body pmcAn additional affiliation is missing for the first author."
4,35351092,MESH:D014591,endometrial,endometrial,Uterine Diseases,TP,"Retrospectively, immunohistochemical and virological analyses had been performed for the initial endometrial endometrioid carcinoma."
5,23050179,MESH:C565785,foci,foci,"Epilepsy, Partial, with Variable Foci",FP,Mastectomy specimen contained residual foci of invasive ductal carcinoma and dissected axillary lymph nodes were free of metastasis.
6,20459822,MESH:D020922,TSS,start,Sleep-Wake Transition Disorders,FP,"Line numbers, distance from ICK start in human or mouse."
7,40487160,MESH:D019553,TREATED,treated,"Tooth, Nonvital",FP,+L indicated that the group was treated with NIR irradiation.
8,37416766,MESH:D016609,TREATMENT,treatment,"Neoplasms, Second Primary",FP,"In this study, we indicated that the CC12 treatment efficacy was not affected by the MGMT status, which implied the wide application potential of CC12 against GBM."
9,25120637,MESH:D012713,serum sickness,serum,Serum Sickness,FP,"Therefore, the effects of treatment with GXSTC drug-containing serum on NO production in TNF-α-treated ECV304 cells were determined by measuring NO generation, NOS activity and eNOS expression."
10,35852388,MESH:D017695,tissue injury,tissue,Soft Tissue Injuries,FP,"Correlation between HOXA4 expression and clinical characteristics in glioma patients  Glioma tissue with associated HOXA4 expression data from the CGGA RNA-seq, CGGA microarray, and TCGA RNA-seq datasets were analyzed (Figure 5(a–g))."
11,41567215,MESH:D020178,advanced,advanced,"Sleep Disorders, Circadian Rhythm",FP,"Nivolumab with platinum- and fluoropyrimidine-based chemotherapy for untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma (2023)."
12,27611833,MESH:D020178,advanced,advanced,"Sleep Disorders, Circadian Rhythm",FP,"==== Body Introduction In recent years, advances in technology such as 4DCT and intensity modulated radiotherapy (IMRT) led to lower incidence of radiation-related toxicities and better short-term survival in the treatment of locally advanced non-small cell lung cancer (NSCLC) with chemo-radiation when compared to 3D techniques [1, 2]."
13,34056803,MESH:D009358,disorders,disorder,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",FP,"SAXS coupled to atomic structures enables integrated structural biology for objective quantitative assessment of conformational ensembles and assemblies in solution, intra‐molecular distances, structural similarity, functional disorder, conformational switching, and flexibility."
14,38164234,MESH:D058497,other,other|other|other|other,Fraser Syndrome,FP,"Table2 Status of SLN by a combination of R&I and other lymph nodes (LN)  	LN+	LN-	Total	 SLN+	11	0	11	 SLN-	8	18	26	 Total	19	18	37	 LN+: Other Lymph Node with Metastasis, LN-: Other Lymph Node without Metastasis, R&I: Radionuclide and Isosulphan,  SLN+: Sentinel Lymph Node with Metastasis, SLN-: Sentinel Lymph Node without Metastasis  Table3 Status of SLN by isosulphan and other lymph nodes (LN) "
15,36684450,MESH:D003291,function,function,Conversion Disorder,FP,"mRNA expression of RSKs1-4 is detectable in all human tissues; RSK4 has the lowest expression and demonstrates tissue-specific variation in expression levels suggesting isoform-specific function as well as tissue-specific roles (Kohn et al., 2003; Dummler et al., 2005; Wu et al., 2009)."
16,37077153,MESH:D019042,muscle,muscles,Muscle Neoplasms,FP,"Furthermore, western blot analysis of the excised quadriceps muscles in CT26-tumor bearing mice at day 36 post-implantation showed significant upregulation of p-STAT3 expression, with the ratio of p-STAT3/total STAT3 of greater than fourfold higher compared to control mice (Figure 4B and C)."
17,41340188,MESH:C041191,BEAM,beam,tricyclazole,FP,(N) Lateral beam sizes at the focal depth.
18,32625504,MESH:D004128,dimethylnitrosamine,ndma,Dimethylnitrosamine,TP,"(1999) investigated the risk of HNC following exposure to nitrite, nitrates and NDMA, using a cohort of 9985 healthy adult Finnish men and women (age not presented) in the Finnish Mobile Clinic survey."
19,40092264,MESH:D000267,adhesions,,Tissue Adhesions,FP, ==== Front J Orthop Case Rep J Orthop Case Rep Journal of Orthopaedic Case Reports 2250-0685 2321-3817 Indian Orthopaedic Research Group India  JOCR-15-93 10.13107/jocr.2025.v15.i03.5346 Case Report Surgical Interventions in Chronic Recurrent Multifocal Osteomyelitis Affecting the Spine: A Case Report with Literature Review Lovaković Josip 1 Banić Tihomir 1 Ehrenfreund Tin 1 Vukić Miroslav 2 Čavk
20,41480162,MESH:D017695,tissue injury,tissue,Soft Tissue Injuries,FP,"After integration, the comprehensive mRNA level of CCT3 showed a notable upregulation in 269 cases of LSCC tissue compared to non-cancerous tissues (SMD = 1.32, 95%confidence interval: 0.79-1.84) (Figure 3A)."
21,34733792,6868,ADAM17,tace|tace|tace,,FP,"Although the present study showed a similar long-term therapeutic outcome with repeated ablation and TACE, it should be noted that thermal ablation is a curative therapy while TACE is a palliative therapy, and TACE should be performed as an alternative option when ablation is not feasible."
22,40313468,MESH:D000080888,NSMP,specific,Specific Language Disorder,FP,"Conclusion  In this study, the CRISPR/Cas12a system was developed for the selective detection of fadA, a specific gene in F."
23,34298999,MESH:D060467,resistance,resistance,Disease Resistance,FP,"Interestingly, it has been shown that increased SIRT1 can lead to an increase in the xCT pump and confer resistance to cisplatin in ovarian cancer cells [121]."
24,39420342,MESH:D006359,exhaustion,exhaustion,Heat Exhaustion,FP,T cell exhaustion: an epigenetically imprinted phenotypic and functional makeover.
25,29510526,MESH:D000081015,drug,drug,Ototoxicity,FP,Advanced drug delivery systems: Nanotechnology of health design: A review J.
26,32182401,OMIM:612348,AS,activity,,FP,"Among the 14 reported SS‐associated MALT lymphoma–derived IGHV1‐69 sequences, whose RF activity was not explored in vitro, the A65P mutation was not found, whereas I59L was found in 2 cases and S36T was found in 3 cases 26, 27."
27,26191083,MESH:D016609,TREATMENT,treatment,"Neoplasms, Second Primary",FP,Vincent et al.[44] showed that treatment of NUPR1-expressing cells with PI3K-AKT inhibitors could reverse cytoplasmic p21 localization and re-sensitize cells to doxorubicin.
28,38942893,MESH:D002294,squamous cell carcinoma,squamous cell carcinoma,"Carcinoma, Squamous Cell",TP,"Shinohara M Nakamura S Sasaki M Kurahara S Ikebe T Harada T Expression of integrins in squamous cell carcinoma of the oral cavity: correlations with tumor invasion and metastasis Am J Clin Pathol 1999 111 75 88 10.1093/ajcp/111.1.75 9894457 Shinohara M, Nakamura S, Sasaki M, Kurahara S, Ikebe T, Harada T, et al."
29,29510526,MESH:D020178,advanced,advanced,"Sleep Disorders, Circadian Rhythm",FP,Advanced drug delivery systems: Nanotechnology of health design: A review J.
30,40766055,MESH:D000067562,late,late,Late Onset Disorders,FP,"Late diagnosis: a case of rapidly progressive Extranodal Nk/T cell lymphoma, nasal type."
