# Mechanism-tag precision audit (#MECH-PRECISION).
# 325 (mechanism, PMID) pairs sampled from the frozen corpus: up to 15 per
# mechanism, seed 23. Each pair was adjudicated by an independent LLM agent that
# read the article and judged whether it genuinely concerns that therapeutic
# mechanism. Agents were blocked from reading scripts/config.py and tags/.
# These are MACHINE adjudications, not human labels. Verdicts are yes /
# borderline (mentioned as context, not studied) / no (false positive).
mechanism,pmid,verdict,reason,likely_trigger
antibody-drug-conjugate,34074654,yes,"The study develops and tests an ADC directly: ""we utilized antibody-drug conjugates (ADCs) that bind specifically to radiation-inducible antigen, TIP1"" with lead 7H5-VcMMAE at ""an average drug-to-antibody ratio (DAR) of 4.25"".",
antibody-drug-conjugate,36609769,yes,"The review's own summary of the year's advances states ""Antibody-drug conjugates-specifically tisotumab vedotin (TV)-also have recently received Food and Drug Administration (FDA) approval, and TV is currently being studied in combination with checkpoint inhibitors and with carboplatin.""",
antibody-drug-conjugate,36966267,yes,"The review's entire subject is ADCs: ""Antibody drug-conjugates (ADCs) have revolutionized the treatment of many types of cancer, including breast cancer"" with dedicated treatment of ""the monoclonal antibody, the payload, and the linker"".",
antibody-drug-conjugate,37190168,yes,Title and scope are explicitly the mechanism: 'Targeting BCMA in Multiple Myeloma: Advances in Antibody-Drug Conjugate Therapy.',
antibody-drug-conjugate,37298631,yes,"The whole review is ""Mechanisms of Resistance to Antibody-Drug Conjugates"", summarising ""the clinical data that contributed to the approval of T-DM1, T-DXd, SG, and EV"" and how to overcome ADC resistance.",
antibody-drug-conjugate,38178200,yes,"The entire review is about ADCs: ""This comprehensive review analyzes existing evidence concerning the additive or synergistic effect of ADCs with other classes of oncology medicines.""",
antibody-drug-conjugate,38272345,borderline,"The ADC enfortumab vedotin appears only as motivating comparator -- ""we developed and tested a Nectin-4-targeted near-infrared photoimmunotherapy (NIR-PIT) that utilizes the same target as EV but utilizes a distinct cytotoxic and immunotherapeutic pathway"" -- and no ADC is made or tested anywhere in the study.","""antibody-drug conjugate (ADC)"" / ""Enfortumab vedotin"" in the abstract's opening background sentence"
antibody-drug-conjugate,38467634,yes,"The paper develops an ADC directly: ""EBET-conjugated #84.7 (84-EBET)"" delivering ""a payload of antibody-drug conjugate (ADC), a bromodomain and extra-terminal (BET) protein degrader"" against CEACAM6 in PDAC models.",
antibody-drug-conjugate,39825061,yes,"The study's intervention is ""disitamab vedotin monotherapy versus combination with anti-PD-1 immunotherapy in advanced gastric cancer"" -- disitamab vedotin (RC48) is an anti-HER2 MMAE antibody-drug conjugate.",
antibody-drug-conjugate,39851917,yes,"The study's whole subject is the ADC trastuzumab deruxtecan: ""Trastuzumab deruxtecan (TDXd) is an antibody-drug conjugate"" whose real-world activity and toxicity in HER2+/HER2-low metastatic breast cancer are reported.",
