n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,36911465,MESH:D009459,neuroleptic malignant syndrome,neuroleptic malignant syndrome,Neuroleptic Malignant Syndrome,TP,Disease N A rare case of neuroleptic malignant syndrome without elevated serum creatine kinase Neuropsychiatr Dis Treat 2014 10 403 7 24591835 5.
2,24713996,MESH:D004194,disease,disease,Disease,TP,"Table 2 Oral lesions in patients with Crohn’s disease [8,9]  CD in the oral cavity usually takes the form of aphthous ulceration of the mucosal surface."
3,36684450,27330,RSK4,rsk4,,TP,"mRNA expression of RSKs1-4 is detectable in all human tissues; RSK4 has the lowest expression and demonstrates tissue-specific variation in expression levels suggesting isoform-specific function as well as tissue-specific roles (Kohn et al., 2003; Dummler et al., 2005; Wu et al., 2009)."
4,33774476,MESH:D008055,lipid,lipid,Lipids,TP,Lipid peroxidation and oxidative imbalance: early functional events in Alzheimer's disease J Alzheimers Dis 6 2 2004 171 175 10.3233/jad-2004-6209 15096701 55 Markesbery W.R.
5,40034604,MESH:D064726,triple-negative breast cancer,tnbc,Triple Negative Breast Neoplasms,TP,"Moreover, since TNBC showed more severe biological behavior and poorer outcomes, we analyzed these genes in TNBC separately."
6,28441778,3329,HSP60,hspd1,,TP,HSPD1	heat shock 60kDa protein 1 (chaperonin)	BE256479	 211210_x_at	0.015	1.53	n.c.
7,37766974,10664,CTCF,ctcf,,TP,CTCF boundary remodels chromatin domain and drives aberrant HOX gene transcription in acute myeloid leukemia Blood 132 2018 837 848 10.1182/blood-2017-11-814319 29760161 46 Vilarrasa-Blasi R.
8,35538058,MESH:D015473,acute promyelocytic leukemia,acute promyelocytic leukemia|promyelocytic leukemia,"Leukemia, Promyelocytic, Acute",TP,Yang L Chai W Wang Y Cao L Xie M Yang M Reactive oxygen species regulate the differentiation of acute promyelocytic leukemia cells through HMGB1-mediated autophagy Am J Cancer Res 2015 5 714 25 25973309 48.
9,37686695,51208,CLDN18,cldn18,,TP,"Disease free survival (right-sided) and Overall (left-sided) survivals curves according to expression of ACE2 (a), CLDN18 (b) and DUSP4 (c) protein in primary tumor samples."
10,28489591,4582,EMA,muc1,,TP,"negative for CK8/18/19, HER2, MUC1 and/or EpCAM), but also in 2) CTCs captured non-specifically as bystanders."
11,36394953,55220,KLHDC8A,klhdc8a,,TP,"To interrogate the functional importance of KLHDC8A in GSCs, KLHDC8A was targeted by shRNA-mediated knockdown in patient-derived GSCs and matched DGCs."
12,35145826,MESH:D007333,insulin resistance,insulin resistance,Insulin Resistance,TP,"Studies from worldwide were selected to analyze the association between breast cancer and insulin resistance, including mammogram screening practices in a region-wise manner."
13,22225906,MESH:D001943,breast cancer,breast cancer,Breast Neoplasms,TP,"==== Body Introduction Despite significant advances in early detection and treatment of breast cancer, mortality due to metastatic disease remains high."
14,28548090,3576,IL-8,il-8,,TP,"Interestingly, as with HT1080 cells, the enhanced migration of MDA-MB-231 cells was observed when IL-6 and IL-8 were present in the stoichiometric ratio of 5:2 (Supplementary Fig."
15,33050207,MESH:C477224,erastin,erastin,erastin,TP,"Although some studies have shown that erastin disrupts mPTP and induces apoptotic death of different cancer cells [44,45], our data clearly demonstrate that erastin induces ferroptosis in our cellular system and no other forms of regulated-cell death."
16,30631039,MESH:D015179,colorectal cancer,colorectal cancer,Colorectal Neoplasms,TP,"CD44v6 assists colorectal cancer stem cells in colonization, invasion, and metastasis."
17,32622360,MESH:D005283,fentanyl,fentanyl,Fentanyl,TP,Tagaito Y  Isono S  Nishino T   Upper airway reflexes during a combination of propofol and fentanyl anesthesia Anesthesiology 1998 88 6 1459 1466 9637637  76.
18,18382651,MESH:D011419,propidium iodide,propidium iodide,Propidium,TP,"Ascorbic acid (Vit C), bovine serum albumin (BSA), Cycloheximide, 2′-(4-Ethoxyphenyl)-5-(4-methyl-1-piperazinyl)-2,5′-bi-1H-benzimidazole (Hoechst 33342), juglone, propidium iodide (PI), tumor necrosis factor-α (TNF-α), α-tocopherol (Vit E), 2′,7′-dichlorofluorescein (DCFH) and staurosporine (STS) c"
19,40842039,MESH:D006528,hepatocellular carcinoma,liver cancer,"Carcinoma, Hepatocellular",TP,Metabolism and immune suppressive response in liver cancer.
20,27081087,406958,miR-182,mir-182,,TP,"miR-182	Oncogene	NDRG1	✓	LNCap, PC-3, DU145, 22Rv1	Prostate cancer******	Promote cell proliferation [126]."
21,26878908,MESH:D005947,glucose,glucose,Glucose,TP,The hexosamine biosynthesis pathway and O-GlcNAcylation maintain insulin-stimulated PI3K-PKB phosphorylation and tumour cell growth after short-term glucose deprivation .
22,28669977,MESH:D005047,etoposide,etoposide,Etoposide,TP,"Histiocyte Society recommends induction therapy with corticosteroids, etoposide, and cyclosporine for eight weeks [35] and selected cases may need stem cell transplant."
23,35528614,MESH:D002534,hypoxic,hypoxic,"Hypoxia, Brain",FP,"The expression of the active HIF-1α increases when the body is in a hypoxia condition, while HIF-1β is a constitutive subunit, and it can be expressed in both normoxic and hypoxic environments."
24,32166242,MESH:D008659,metabolic disorders,metabolic,Metabolic Diseases,FP,"Consequently, this induces a metabolic shift and glycolysis becomes the primary metabolic pathway."
25,41008599,MESH:D008659,metabolic disorders,metabolic,Metabolic Diseases,FP,"The molecular mechanism of mtDNA mutations, mitochondrial dynamics abnormalities, mitochondrial autophagy abnormalities, mitochondrial permeability alterations, and metabolic reprogramming in the development of TC are systematically reviewed in this paper."
26,38929531,MESH:D018358,neuroendocrine tumors,neuroendocrine,Neuroendocrine Tumors,TP,Introduction  Paragangliomas represent a rare group of tumors with a neuroendocrine origin that arises from the sympathetic and parasympathetic paraganglia [1].
27,34109244,MESH:C564275,neutrophil,neutrophil,Neutrophil Immunodeficiency Syndrome,FP,"Patients with NA are less responsive to ICS [34]; however, it is unclear if this corticosteroid insensitivity is related to the presence of neutrophils or if it is induced by the mechanisms underlying neutrophil recruitment [35]."
28,32182401,MESH:D018442,MALT lymphoma,malt lymphoma,"Lymphoma, B-Cell, Marginal Zone",TP,"Among the 14 reported SS‐associated MALT lymphoma–derived IGHV1‐69 sequences, whose RF activity was not explored in vitro, the A65P mutation was not found, whereas I59L was found in 2 cases and S36T was found in 3 cases 26, 27."
29,32957979,MESH:D007239,infection,infections,Infections,TP,"However, the definitive diagnoses of ILFS2 continues to depend on sequencing results of NBAS as well as the elimination of other potential causes of ALF including drug reactions, infections and autoimmune hepatitis."
30,40957993,3593,IL-12,interleukin-12,,TP,"Veinalde R Grossardt C Hartmann L Bourgeois-Daigneault MC Bell JC Jager D Oncolytic measles virus encoding interleukin-12 mediates potent antitumor effects through T cell activation Oncoimmunology 2017 6 e1285992 28507792 Veinalde R, Grossardt C, Hartmann L, Bourgeois-Daigneault MC, Bell JC, Jager D"
31,40092264,MESH:C535456,CRMO,chronic recurrent multifocal osteomyelitis,Chronic recurrent multifocal osteomyelitis,TP, ==== Front J Orthop Case Rep J Orthop Case Rep Journal of Orthopaedic Case Reports 2250-0685 2321-3817 Indian Orthopaedic Research Group India  JOCR-15-93 10.13107/jocr.2025.v15.i03.5346 Case Report Surgical Interventions in Chronic Recurrent Multifocal Osteomyelitis Affecting the Spine: A Case Rep
32,35433484,3682,CD103,cd103,,TP,"CD103 expression was also decreased in DCR, which might be due to the fact of complete antigen removal from the tissue."
33,25649941,MESH:D010149,postoperative pain,postoperative pain,Postoperative Pain,TP,Changes in cortisol concentration in response to stress and postoperative pain in client-owned cats and correlation with objective clinical variables .
34,22346740,MESH:D000782,aneuploidy,aneuploidy,Aneuploidy,TP,"While molecular defects in apoptotic pathways are thought to often contribute to the abnormal expansion of malignant cells and their resistance to chemotherapy, the abnormality of the cell cycle pathway usually produces cells with too many or too few chromosomes (aneuploidy), which is frequently ass"
35,37274269,MESH:D064726,triple-negative breast cancer,triple-negative breast cancer,Triple Negative Breast Neoplasms,TP,triple-negative breast cancer glycolysis-related DEGs prognosis risk signature immune cell infiltration chemosensitivity The study was funded by the Natural Science Foundation of Henan Province (grant number: 232300420040).
36,38001749,MESH:D002583,cervical cancer,cervical cancer,Uterine Cervical Neoplasms,TP,Upregulating the expression of regucalcin may provide a potential therapeutic approach for treating cervical cancer.
37,37545849,MESH:D007035,hypothermia,hypothermia,Hypothermia,TP,The patient underwent open clamped partial nephrectomy with hypothermia.
38,26230665,4318,MMP-9,mmp-9,,TP,10.1371/journal.pone.0133411.t003Table 3 Cox univariate and multivariate analyses of disease-free survival in association with PAI-2 and MMP-9 IHC expression levels and pathological stage in derivation cohort with 98 NSCLC cases.
39,26230665,MESH:D002289,non-small cell lung cancer,nsclc,"Carcinoma, Non-Small-Cell Lung",TP,10.1371/journal.pone.0133411.t003Table 3 Cox univariate and multivariate analyses of disease-free survival in association with PAI-2 and MMP-9 IHC expression levels and pathological stage in derivation cohort with 98 NSCLC cases.
40,35446677,MESH:D009765,obesity,obese,Obesity,TP,Sedjo RL Flatt SW Byers T : Impact of a behavioral weight loss intervention on comorbidities in overweight and obese breast cancer survivors.
