n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,40073758,MESH:D010455,peptides,peptides,Peptides,TP,"After washing of the trapping column with 0.1 % formic acid (FA), the peptides were eluted (flow rate - 200 nl/min) from the trapping column onto an analytical column (Aurora C18, 75 μm ID, 250 mm long, 1.6 μm particles, Ion Opticks) by 60 min linear gradient program (3–42% of mobile phase B; mobile phase A: 0.1% FA in water; mobile phase B: 0.1% FA in 80% ACN)."
2,40083691,7018,transferrin,transferrin,,TP,"Alternatively, mitochondria directly ingest iron through transient interactions with endosomes containing iron-bound transferrin (in a “kiss and run” process)125."
3,39468462,59335,PRDM12,prdm12,,TP,"However, there is no significant prognostic correlation observed with the expression of PRDM1, MECOM, PRDM4, PRDM5, PRDM7, PRDM8, PRDM9, PRDM10, PRDM12, PRDM13, PRDM15, and PRDM16 (A, C-E, G-J, L-O)."
4,21991388,21786,TFF3,intestinal trefoil factor,,TP,Oncogene 21 2000 2008 11960372  27 Rivat C  Rodrigues S  Bruyneel E  Pietu G  Robert A    2005 Implication of STAT3 signaling in human colonic cancer cells during intestinal trefoil factor 3 (TFF3) – and vascular endothelial growth factor-mediated cellular invasion and tumor growth.
5,25914740,MESH:D006965,hyperplasia,hyperplasia,Hyperplasia,TP,"On the other hand, a significant bone marrow plasma cell infiltration dislocates the normal hematopoiesis to a variable degree, making it difficult to pathologically sustain the diagnosis of associated myeloproliferative neoplasm and its differentiation from secondary megakaryocyte hyperplasia to a monoclonal gammopathy."
6,40073758,MESH:C030544,formic acid,formic acid,formic acid,TP,"After washing of the trapping column with 0.1 % formic acid (FA), the peptides were eluted (flow rate - 200 nl/min) from the trapping column onto an analytical column (Aurora C18, 75 μm ID, 250 mm long, 1.6 μm particles, Ion Opticks) by 60 min linear gradient program (3–42% of mobile phase B; mobile phase A: 0.1% FA in water; mobile phase B: 0.1% FA in 80% ACN)."
7,40268770,MESH:D004194,disease,,Disease,TP,Therapeutic implications of caffeic acid in cancer and neurological diseases.
8,26593927,112476,PKC,protein kinase c,,TP,"UCN-01 and UCN-02, new selective inhibitors of protein kinase C.I."
9,39655713,MESH:C000656166,selpercatinib,selpercatinib,selpercatinib,TP,"In one case, the addition of crizotinib (a MET inhibitor) to selpercatinib extended treatment response by 10 months (Rosen et al."
10,35361846,4922,neurotensin,neurotensin,,TP,Dupouy S The potential use of the neurotensin high affinity receptor 1 as a biomarker for cancer progression and as a component of personalized medicine in selective cancers Biochimie 2011 93 1369 1378 10.1016/j.biochi.2011.04.024 21605619 74.
11,40269686,22943,DKK1,dkk1,,TP,"A recent Chinese cohort study with 105 cases of chronic hepatitis, 116 of liver cirrhosis, and 101 of HCC showed that serum OPN analyses gave a better AUROC of 0.851 (79.2% sensitivity and 79.6% specificity) compared with AFP (AUROC of 0.683) or DKK1 (AUROC of 0.639) (Zhu et al."
12,39468462,639,PRDM1,prdm1,,TP,"However, there is no significant prognostic correlation observed with the expression of PRDM1, MECOM, PRDM4, PRDM5, PRDM7, PRDM8, PRDM9, PRDM10, PRDM12, PRDM13, PRDM15, and PRDM16 (A, C-E, G-J, L-O)."
13,35768433,OMIM:613563,MUTATIONS,mutations,,FP,"The PIK3CA and TP53 genes are the leading oncogenic mutations of breast malignancies and accordingly the most common changes detected in our study were in the PIK3CA gene5,40."
14,28797116,MESH:D000596,amino acids,amino acid,Amino Acids,TP,"Results Site-directed mutagenesis of the α7 nAChR ligand-binding site To check the role of chosen non-conserved amino acid residues (Fig 1A, green) in the unique α9 nAChR pharmacology, several α7/α9 nAChR mutants were prepared, where single amino-acid residues of the α7 nAChR ligand-binding site (Fig 1A, red) were replaced by the homologous ones from α9 nAChR (Fig 1A, green)."
15,31689796,MESH:D000143,acid,,Acids,FP,J Clin Oncol  2008 ;26 :4906 –11 .18794541  [23] Portier G Elias D Bouche O   Multicenter randomized trial of adjuvant fluorouracil and folinic acid compared with surgery alone after resection of colorectal liver metastases: FFCD ACHBTH AURC 9002 trial .
