n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,40766055,MESH:D000079822,extranodal disease,extranodal,Extranodal Extension,FP,"Late diagnosis: a case of rapidly progressive Extranodal Nk/T cell lymphoma, nasal type."
2,39229551,MESH:D019106,postoperative,postoperative,Postoperative Hemorrhage,FP,The drain was removed on postoperative day 4 or later if drain fluid amylase levels were less than three times the normal upper limit of institutional serum amylase on postoperative day 3.
3,41225546,MESH:D000072861,EVALUATION,evaluation,"Phobia, Social",FP,Evaluation of the usefulness of protocol-based pharmacist-facilitated laboratory monitoring to ensure the safety of immune checkpoint inhibitors in patients with lung cancer.
4,41179491,MESH:D000080364,Multifocal disease,multifocal disease,Multifocal Choroiditis,FP,"A maximum tumor diameter >5 cm, multifocal disease, presence of microvascular invasion (MVI), and portal vein tumor thrombosis (PVTT) are all strongly linked to postoperative recurrence.33 Among these, tumor size and multifocality reflect the intrinsic aggressiveness and dissemination potential of t"
5,31258594,MESH:D000079225,stress,stress,Psychological Distress,FP,"The reason might be that propofol had small irritation to the body, took effect rapidly and caused mild stress reaction."
6,38164234,MESH:C564676,involvement,involvement,"Dyskinesia, Familial, with Facial Myokymia",FP,"Table2 Status of SLN by a combination of R&I and other lymph nodes (LN)  	LN+	LN-	Total	 SLN+	11	0	11	 SLN-	8	18	26	 Total	19	18	37	 LN+: Other Lymph Node with Metastasis, LN-: Other Lymph Node without Metastasis, R&I: Radionuclide and Isosulphan,  SLN+: Sentinel Lymph Node with Metastasis, SLN-: Sentinel Lymph Node without Metastasis  Table3 Status of SLN by isosulphan and other lymph nodes (LN)  	LN+	LN-	Total	 SLN+	10	0	10	 SLN-	9	15	24	 Total	19	15	34	 LN+: Other Lymph Node with Metastasis, LN-: Other Lymph Node without Metastasis, SLN+: Sentinel Lymph Node with Metastasis, SLN-: Sentinel Lymph Node without Metastasis  Related to the tumor stage, most patients were found with T2 and T3 cancer and just 3 patients with no SLN involvement and no metastasis in other lymph nodes were reported in the T1 stage."
7,40421218,MESH:C535501,NMF,matrix,"Epiphyseal dysplasia, multiple, 1",FP,"On one hand, insulin resistance reduces the activity of osteoblasts, leading to decreased bone matrix synthesis and mineralization; on the other hand, insulin resistance promotes osteoclastogenesis and enhances osteoclast activity, accelerating bone resorption (Greere et al., 2023)."
8,36287776,MESH:D018908,weakness,weakness,Muscle Weakness,TP,"Weimer SL Wideman RF Scanes CG Mauromoustakos A Christensen KD Vizzier-Thaxton Y Broiler stress responses to light intensity, flooring type, and leg weakness as assessed by heterophil-to-lymphocyte ratios, serum corticosterone, infrared thermography, and latency to lie Poult Sci."
9,37943834,MESH:D001835,loss of body weight,body,Body Weight,FP,"Prediction of outcome in patients with non-small cell lung cancer treated with second line PD-1/PDL-1 inhibitors based on clinical parameters: Results from a prospective, single institution study ==== Body pmcAn additional affiliation is missing for the first author."
10,39816378,MESH:D005910,glioma,gliomas,Glioma,TP,"With their inherent capability to be regulated and guided to particular areas within the body employing EMFs, magnetosomes can substantially enhance gene therapy’s accuracy, safety, and efficiency.142  The existing chemical treatment exhibits a poor prognosis, particularly for patients with malignant and invasive gliomas."
11,24343588,MESH:D011832,radiation,radiation,Radiation Injuries,FP,"Most notably, it is clear that both are effective in LA PDA and the value of radiation in addition to multi-agent chemotherapy is still to be determined."
12,36421337,MESH:D016773,cutaneous leishmaniasis,world,"Leishmaniasis, Cutaneous",FP,"More than 2500 studies from across the world were reporting hardship with cancer care delivery: due to increased risk of contracting COVID-19 and of mortality in cancer patients, especially in patients undergoing chemotherapy many cancer diagnostic tests and treatments were canceled or delayed becau"
13,39224396,MESH:D002118,calcium,calcium,Calcium,TP,"The formulation of MTX, phospholipon 90G, sodium calcium, and cholesterol has the most concise particle size and better EE."
14,34572757,MESH:D054000,nevus sebaceous,organoids,"Nevus, Sebaceous of Jadassohn",FP,Ongoing chromosomal instability and karyotype evolution in human colorectal cancer organoids Nat.
15,36911465,MESH:D012713,serum sickness,serum,Serum Sickness,FP,Disease N A rare case of neuroleptic malignant syndrome without elevated serum creatine kinase Neuropsychiatr Dis Treat 2014 10 403 7 24591835 5.
16,31027259,MESH:D021081,metabolic dysregulation,dysregulation,Chronobiology Disorders,FP,"These observations suggest that different types of BC originate from dysregulation of different oncogenes, paving the way for the search for highly specific therapeutic targets."
17,38992585,MESH:D005909,glioblastoma,glioblastoma,Glioblastoma,TP,A study demonstrated that cancer stem cell like phenotype can be induced by targeting TUSC3 in glioblastoma through miR-132 [24].
18,40883396,MESH:D003141,infectious diseases,infectious,Communicable Diseases,TP,Diagnostic utility of contrast-enhanced FLAIR MRI in imaging of demyelinating and infectious brain lesions.
19,32195166,4316,MMP7,matrix metalloproteinase-7|mmp-7,,TP,Inhibition of hyaluronan synthases decreases matrix metalloproteinase-7 (MMP-7) expression and activity .
20,31794425,MESH:D000077273,papillary thyroid carcinoma,papillary thyroid cancer,"Thyroid Cancer, Papillary",TP,miRNA-299-5p regulates estrogen receptor alpha and inhibits migration and invasion of papillary thyroid cancer cell.
21,41567215,MESH:D020511,junction,junction,Neuromuscular Junction Diseases,FP,"Nivolumab with platinum- and fluoropyrimidine-based chemotherapy for untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma (2023)."
22,40421218,OMIM:612348,AS,activity,,FP,"On one hand, insulin resistance reduces the activity of osteoblasts, leading to decreased bone matrix synthesis and mineralization; on the other hand, insulin resistance promotes osteoclastogenesis and enhances osteoclast activity, accelerating bone resorption (Greere et al., 2023)."
23,37583562,MESH:C004184,Probe,probe,methazole,FP,The procedure can be done using a “free hand” technique or with biopsy needles mounted on the ultrasound probe.
24,30997435,MESH:D019553,TREATED,treated,"Tooth, Nonvital",FP,"Acute and chronic rejection were treated with previously described protocols.25 Cytomegalovirus, Epstein-Barr virus, and BK virus were monitored monthly for the first 6 months posttransplant, then at 9, 12, 18, and 24 months posttransplant."
25,38927984,MESH:D014523,urothelial carcinoma,urothelial cancer,Urethral Neoplasms,FP,"Toripalimab, an anti-PD-1 therapy, has shown improved ORR and PFS in patients with metastatic urothelial cancer with detectable PD-L1 expression and higher TMB [120]."
26,33050207,MESH:D015632,MPTP,mptp,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",FP,"Although some studies have shown that erastin disrupts mPTP and induces apoptotic death of different cancer cells [44,45], our data clearly demonstrate that erastin induces ferroptosis in our cellular system and no other forms of regulated-cell death."
27,35217799,47223626,actA,acta,,FP,Quesnel A Karagiannis GS Filippou PS Extracellular proteolysis in glioblastoma progression and therapeutics Biochim Biophys Acta Rev Cancer 2020 1874 188428 10.1016/j.bbcan.2020.188428 32956761 27.
28,40978055,MESH:D008206,lymphadenopathy,lymphatic,Lymphatic Diseases,FP,"These data suggest that level I metastasis is an unusual phenomenon, potentially indicating a more aggressive tumor phenotype or the presence of atypical lymphatic drainage pathways."
29,24278371,MESH:C000655084,MAMMALIAN,mammalian,red meat allergy,FP,(2005 ) The MIPS mammalian protein-protein interaction database .
30,36421337,MESH:D005119,extravasation,diagnostic,Extravasation of Diagnostic and Therapeutic Materials,FP,"More than 2500 studies from across the world were reporting hardship with cancer care delivery: due to increased risk of contracting COVID-19 and of mortality in cancer patients, especially in patients undergoing chemotherapy many cancer diagnostic tests and treatments were canceled or delayed becau"
31,40584026,MESH:C000631724,camrelizumab,camrelizumab,camrelizumab,TP,"Camrelizumab in patients with previously treated advanced hepatocellular carcinoma: a multicentre, open-label, parallel-group, randomised, phase 2 trial."
32,34055614,MESH:D020178,advanced,advanced,"Sleep Disorders, Circadian Rhythm",FP,10.1038/s41571-020-0377-z 8 FDA Expands Use of Xalkori to Treat Rare Form of Advanced non-Small Cell Lung Cancer (2016).
33,41225546,MESH:D007154,immune dysfunction,immune,Immune System Diseases,FP,Evaluation of the usefulness of protocol-based pharmacist-facilitated laboratory monitoring to ensure the safety of immune checkpoint inhibitors in patients with lung cancer.
34,40978055,MESH:D010554,aggressiveness,aggressive,Personality Disorders,FP,"These data suggest that level I metastasis is an unusual phenomenon, potentially indicating a more aggressive tumor phenotype or the presence of atypical lymphatic drainage pathways."
35,40421218,MESH:D058497,other,other,Fraser Syndrome,FP,"On one hand, insulin resistance reduces the activity of osteoblasts, leading to decreased bone matrix synthesis and mineralization; on the other hand, insulin resistance promotes osteoclastogenesis and enhances osteoclast activity, accelerating bone resorption (Greere et al., 2023)."
36,38397429,135,A2AR,receptor,,FP,"For instance, Zbtb20 promotes full activation of Toll-like receptor (TLR) signaling, a critical pathway in innate response against invading pathogens; mechanistically, Zbtb20 enhances NF-κB activation by specifically repressing the transcription of Nfkbia (IκBα), the canonical suppressor of NF-κB si"
37,34249714,MESH:C563514,conventional,conventional,Hypertension Resistant to Conventional Therapy,FP,Figure 2 Schematic representation of conventional and adaptive treatment strategies and their outcomes in triple negative breast cancers.
38,38467415,MESH:D058497,other,other,Fraser Syndrome,FP,"Unlike drugs and services provided in hospital, at-home health services and take-home prescription drugs are not required to be publicly funded under the Canada Health Act.1,3 The proposal for the Canada Pharmacare Act frequently references the cost of cancer drugs as an example of the burden of drug costs for people in Canada and the need for more comprehensive, national drug funding.4 However, despite ongoing advocacy, pharmacare legislation has not been passed, which means that other approaches to mitigate the financial toxicity of cancer-related outpatient treatment must be sought."
39,32957979,MESH:D058497,other,other,Fraser Syndrome,FP,"However, the definitive diagnoses of ILFS2 continues to depend on sequencing results of NBAS as well as the elimination of other potential causes of ALF including drug reactions, infections and autoimmune hepatitis."
40,37873185,MESH:D000094024,19,,Post-Acute COVID-19 Syndrome,FP,Identification of Long Non-coding RNAs Expressed During Early Adipogenesis.
